127.0.0.1 - - [26/Apr/2018:13:41:19 +0200] "GET /twitter/js/connexion.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:41:19 +0200] "GET /twitter/js/tools.js HTTP/1.1" 200 11890
127.0.0.1 - - [26/Apr/2018:13:41:19 +0200] "GET /twitter/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:41:19 +0200] "GET /twitter/js/posts.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:41:19 +0200] "GET /twitter/js/models.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:41:19 +0200] "GET /twitter/user/info?key=MeDRuLfwcvtDQxnghaeqOXKymnZgUHLw&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:13:41:19 +0200] "GET /twitter/friends/listfriends?key=MeDRuLfwcvtDQxnghaeqOXKymnZgUHLw HTTP/1.1" 200 235
127.0.0.1 - - [26/Apr/2018:13:41:19 +0200] "GET /twitter/ressources/photo_de_profil.jpg HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:41:19 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:13:41:26 +0200] "GET /twitter/index.html HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:41:26 +0200] "GET /twitter/css/main.css HTTP/1.1" 304 -
